epoch,acc,loss,lr,val_acc,val_loss
0,0.8912230730056763,0.2711888253688812,1e-04,0.8833520412445068,0.27252334356307983
1,0.944926917552948,0.11816481500864029,1e-04,0.9328491687774658,0.121243417263031
2,0.9559775590896606,0.08020547777414322,1e-04,0.9422296285629272,0.10461082309484482
3,0.9609159827232361,0.06269723176956177,1e-04,0.9437031149864197,0.09151845425367355
4,0.9657148122787476,0.049171190708875656,1e-04,0.9472495913505554,0.08338296413421631
5,0.9695003628730774,0.03960590064525604,1e-04,0.948065459728241,0.0778278335928917
6,0.9704669117927551,0.036137256771326065,1e-04,0.9442476630210876,0.08289113640785217
7,0.9719001054763794,0.03246751055121422,1e-04,0.9511376619338989,0.07161294668912888
8,0.9708760380744934,0.034055132418870926,1e-04,0.9469265341758728,0.07871870696544647
9,0.9724141359329224,0.030189504846930504,1e-04,0.9521846175193787,0.06956762820482254
10,0.9736440777778625,0.02751421183347702,1e-04,0.9459014534950256,0.08046530932188034
11,0.9749352931976318,0.024749312549829483,1e-04,0.9487745761871338,0.07774433493614197
